,S&P 500,S&P 500 Consumer Staples (Sector),S&P 500 Performance (%),S&P 500 Consumer Staples (Sector) Performance (%),S&P 500 Consumer Staples (Sector) Outperform/Underperform,overall,food and beverages,food,nondurables,household furnishings and operations,household furnishings and supplies,tobacco and smoking products,domestically produced farm food,footwear,infants' and toddlers' apparel,men's apparel,women's apparel
2018-03-22,2643.69,530.01001,-3.756275324278169,3.505450937411392,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-23,2588.26,523.400024,-5.840366705471478,2.710027298102613,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-26,2658.55,530.4400019999998,-4.104820819882038,3.944661887655143,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-27,2612.62,530.869995,-5.69418525323332,3.398779279691566,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-28,2605.0,538.1900019999998,-6.26225697455588,3.4761910983116318,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-03-29,2640.87,541.72998,-5.0729690869877775,3.359914746240489,OUTPERFORM,250.146,252.80200000000002,253.016,225.28799999999998,121.81,90.087,1056.874,248.373,137.953,120.39200000000001,121.88799999999999,115.848
2018-04-02,2581.88,528.460022,-7.354898900191964,0.6456310501087081,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-03,2614.45,535.6900019999998,-5.806969949164708,2.389189386688617,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-04,2644.69,543.830017,-4.952398750759201,3.9430436786763723,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-05,2662.84,545.549988,-4.2026722692703355,2.9106604439623096,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-06,2604.47,540.219971,-6.102929247408751,3.432957505456846,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-09,2613.16,539.210022,-5.409054546639213,2.7066708571428455,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-10,2656.87,541.0,-3.991226168278339,2.9358587427916083,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-11,2642.19,539.840027,-3.9119777726056126,2.6409382418646876,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-12,2663.99,538.8099980000002,-3.2992362643745055,1.5855908030653065,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-13,2656.3,541.5,-2.2366004556378716,1.6424213984045144,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-16,2677.84,547.289978,-1.6606317892370992,3.1902225162643294,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-17,2706.39,548.539978,0.2504046850864583,3.6996442280085473,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-18,2708.64,543.8099980000002,-0.28236836001782617,2.6347122076684215,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-19,2693.13,526.75,-0.9284975923071426,-0.44039028599335284,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
2018-04-20,2670.14,517.880005,-2.074661405136602,-1.5979732374839295,OUTPERFORM,250.77900000000002,252.77599999999998,253.018,226.46200000000002,121.318,89.583,1059.665,247.546,137.054,122.228,120.67299999999999,116.973
