,S&P 500,S&P 500 Materials (Sector),S&P 500 Performance (%),S&P 500 Materials (Sector) Performance (%),S&P 500 Materials (Sector) Outperform/Underperform,overall,transportation,energy,energy commodities,fuels and utilities,transportation services
2007-06-01,1536.34,255.020004,1.102271007311173,-2.118678440668975,UNDERPERFORM,207.234,184.90200000000002,209.799,243.412,201.56799999999998,232.609
2007-06-04,1539.18,254.330002,1.5370609810802849,-2.9089557743559147,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-05,1530.95,253.410004,1.0928420496566282,-3.719607733148589,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-06,1517.38,249.899994,-1.1659111041633974,-6.610860743837376,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-07,1490.72,244.399994,-3.261560824929588,-9.72222477200716,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-08,1507.67,248.75999500000003,-1.525127039490004,-6.075140885592423,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-11,1509.12,246.869995,-2.598458738334053,-9.045028672959354,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-12,1493.0,244.190002,-1.023574023494478,-6.847490643502107,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-13,1515.67,249.639999,0.3987679263405486,-5.442979605205133,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-14,1522.97,251.289993,1.3846635201075763,-3.9888501743118754,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-15,1532.91,254.02999900000003,0.8314312589211115,-5.272779697407836,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-18,1531.05,253.990005,3.756387145742135,-2.145936601525178,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-19,1533.7,255.229996,3.995877323243624,-2.865738207271351,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-20,1512.84,251.960007,4.0682396643048735,-2.295640563524881,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-21,1522.19,254.440002,5.76786781361609,2.485196721549965,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-22,1502.56,252.690002,1.452347996353942,-0.28018627340614666,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-25,1497.74,250.130005,1.8468903425859162,-1.7556955595672719,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-26,1492.89,247.050003,2.876339454915078,-0.7472584348196754,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-27,1506.34,248.130005,3.2630900640278515,-0.5690234353553536,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-28,1505.71,248.520004,5.0541768124638065,2.9494656905418193,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-06-29,1503.35,250.100006,4.42105994304367,2.0899706439704513,UNDERPERFORM,207.60299999999998,185.396,209.639,244.662,200.65099999999998,233.398
2007-07-02,1519.43,253.990005,7.246059699174889,5.683852572014714,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-03,1524.87,254.210007,5.842298882487662,3.843955835245638,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-05,1525.4,254.899994,8.398118275749344,6.13757068391787,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-06,1530.44,256.570007,7.156410382081324,5.623483090470005,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-09,1531.85,257.48999,4.277000993859836,1.2783137728462401,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-10,1510.12,253.080002,2.7488229050431245,-0.9006198429669543,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-11,1518.76,255.710007,2.5399354551223885,-0.7298377379531429,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-12,1547.7,262.600006,5.112671656185053,2.3502353492160344,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-13,1552.5,265.440002,6.132801017234191,4.15538385351264,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-16,1549.52,263.570007,4.344078491053938,1.6585097321078601,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-17,1549.37,265.209991,2.788355646370433,0.3215335331479885,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-18,1546.17,266.559998,2.7587627769728673,0.04127828675046796,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-19,1553.08,267.369995,2.448613419879142,-0.9777470842655123,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-20,1534.1,263.619995,3.8202551348424763,1.673864554434834,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-23,1541.57,264.339996,3.6983970025360025,0.7470047117347889,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-24,1511.04,258.190002,1.5204144019457022,-2.274795506065319,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-25,1518.09,255.300003,3.4156476719234163,-1.4057306603403763,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-26,1482.66,246.02999900000003,2.542361159139639,-1.901915447744218,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-27,1458.95,241.190002,0.27285598427468916,-4.716944954826674,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-30,1473.91,246.630005,1.4390915347556765,-2.32088394944584,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-07-31,1455.27,244.380005,-0.3321644796318024,-4.9474915220344196,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-08-01,1465.81,244.679993,-1.2563491101141189,-7.054133713200383,UNDERPERFORM,207.667,184.328,206.412,239.257,199.821,233.683
2007-08-02,1472.2,244.169998,-1.6205018543887229,-7.8603781132075445,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-03,1433.06,237.649994,-4.3133955637461145,-10.88570562546851,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-06,1467.67,240.089996,-0.5825492626687523,-8.355605038889768,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-07,1476.71,241.919998,-0.12039310377479628,-7.702868320716593,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-08,1497.49,247.639999,1.9838459233430639,-4.695195962056586,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-09,1453.09,240.679993,0.40976809751511745,-6.579207262756526,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-10,1453.64,240.240005,0.4477735703032115,-8.087841302168464,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-13,1452.92,239.520004,2.9249874258835407,-5.708211861928792,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-14,1426.54,233.25999500000003,0.7315454250165887,-6.789212787212772,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-15,1406.7,225.970001,1.1876074493414546,-8.606673003033372,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
2007-08-16,1411.27,219.220001,0.1518667546642094,-12.111611613604145,UNDERPERFORM,208.547,186.324,210.74200000000002,247.317,200.899,234.56599999999997
