,S&P 500,S&P 500 Consumer Discretionary (Sector),S&P 500 Performance (%),S&P 500 Consumer Discretionary (Sector) Performance (%),S&P 500 Consumer Discretionary (Sector) Outperform/Underperform,overall,durables,jewelry and watches,jewelry,watches,sporting goods,"pets, pet products and services"
2019-02-26,2793.9,872.2800289999999,-10.809827231749514,-8.36046868804976,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-27,2792.38,871.929993,-11.11684062095154,-8.66686828677633,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-02-28,2784.49,867.0300289999999,-12.121556411882972,-9.967600777396102,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-03-01,2803.69,874.9699710000001,-11.522027265841961,-9.178954826349472,OUTPERFORM,254.273,105.17200000000001,167.761,164.49,139.287,112.428,176.43
2019-03-04,2792.81,873.5599980000002,-12.490874054113332,-9.710495088314364,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-05,2789.65,875.330017,-12.619184844574194,-10.023231702410207,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-06,2771.45,870.419983,-13.151726342310276,-10.525181197819055,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-07,2748.93,858.4600220000002,-14.23985374543345,-12.068259464518839,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-08,2743.07,852.820007,-14.84375485064664,-12.74873769911007,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-11,2783.3,865.849976,-13.669622612833088,-11.30040157874821,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-12,2791.52,865.849976,-13.397737778356888,-11.415653069692533,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-13,2810.92,871.2100220000002,-13.240799898762612,-12.125029055420988,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-14,2808.48,868.5,-13.31905358608897,-12.44430124313104,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-15,2822.48,874.669983,-12.38044385944761,-11.18478739435277,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-18,2832.94,883.849976,-12.314054191247937,-10.386397944317348,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-19,2832.57,888.26001,-13.05400801141856,-11.0859750043946,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-20,2824.23,891.570007,-12.693633398766558,-9.987884199899034,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-21,2854.88,903.380005,-12.05687741045135,-9.127669743731492,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-22,2800.71,884.840027,-13.483031527440549,-10.88057535669612,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-25,2798.36,889.7899779999998,-13.977344338390129,-10.517213665522984,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-26,2818.46,893.7100220000002,-13.932268604757681,-10.621846028253623,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-27,2805.37,891.419983,-14.086698209992809,-10.36320479774766,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
2019-03-28,2815.44,896.580017,-14.375648164762344,-10.132605743636969,OUTPERFORM,255.16299999999998,104.831,171.233,170.72400000000002,142.68200000000002,112.275,177.002
